time,number_of_objects
07/31/2022 06:00:00,8
07/31/2022 21:00:00,8
08/01/2022 02:00:00,8
08/01/2022 03:00:00,8
08/01/2022 05:00:00,16
08/01/2022 06:00:00,16
08/01/2022 23:00:00,19
08/02/2022 01:00:00,32
08/02/2022 03:00:00,44
08/02/2022 05:00:00,16
08/02/2022 21:00:00,8
08/02/2022 23:00:00,24
08/03/2022 00:00:00,8
08/03/2022 02:00:00,24
08/03/2022 04:00:00,8
08/03/2022 23:00:00,6
08/04/2022 00:00:00,8
08/04/2022 03:00:00,8
08/04/2022 04:00:00,12
08/04/2022 05:00:00,16
08/04/2022 21:00:00,8
08/04/2022 22:00:00,8
08/04/2022 23:00:00,8
08/05/2022 00:00:00,8
08/05/2022 01:00:00,8
08/05/2022 02:00:00,8
08/05/2022 03:00:00,15
08/05/2022 21:00:00,8
08/05/2022 23:00:00,8
08/06/2022 03:00:00,8
08/06/2022 04:00:00,8
08/06/2022 20:00:00,8
08/06/2022 23:00:00,8
08/07/2022 00:00:00,8
08/07/2022 01:00:00,8
08/07/2022 02:00:00,8
08/07/2022 23:00:00,16
08/08/2022 03:00:00,8
08/08/2022 04:00:00,12
08/08/2022 10:00:00,8
08/08/2022 20:00:00,8
08/08/2022 21:00:00,8
08/09/2022 01:00:00,16
08/09/2022 02:00:00,8
08/09/2022 04:00:00,8
08/09/2022 19:00:00,8
08/09/2022 21:00:00,16
08/09/2022 22:00:00,24
08/10/2022 01:00:00,8
08/10/2022 07:00:00,56
08/10/2022 18:00:00,8
08/10/2022 21:00:00,7
08/10/2022 23:00:00,32
08/11/2022 02:00:00,8
08/11/2022 03:00:00,19
08/11/2022 04:00:00,21
08/11/2022 05:00:00,8
08/11/2022 20:00:00,8
08/12/2022 00:00:00,32
08/12/2022 03:00:00,8
08/12/2022 21:00:00,24
08/12/2022 23:00:00,24
08/13/2022 00:00:00,8
08/13/2022 02:00:00,16
08/13/2022 21:00:00,16
08/13/2022 23:00:00,16
08/14/2022 00:00:00,16
08/14/2022 02:00:00,8
08/14/2022 03:00:00,16
08/14/2022 20:00:00,8
08/14/2022 21:00:00,8
08/14/2022 22:00:00,24
08/15/2022 04:00:00,8
08/15/2022 20:00:00,8
08/15/2022 21:00:00,8
08/16/2022 16:00:00,40
08/16/2022 18:00:00,8
08/16/2022 20:00:00,8
08/16/2022 21:00:00,16
08/17/2022 01:00:00,8
08/17/2022 03:00:00,8
08/17/2022 20:00:00,8
08/17/2022 21:00:00,8
08/17/2022 23:00:00,8
08/18/2022 00:00:00,8
08/18/2022 02:00:00,8
08/18/2022 04:00:00,8
08/18/2022 05:00:00,5
08/18/2022 22:00:00,8
08/19/2022 02:00:00,24
08/19/2022 04:00:00,8
08/19/2022 22:00:00,16
08/20/2022 00:00:00,8
08/20/2022 02:00:00,8
08/21/2022 02:00:00,7
08/21/2022 06:00:00,8
08/21/2022 07:00:00,24
08/21/2022 13:00:00,8
08/21/2022 19:00:00,8
08/21/2022 20:00:00,8
08/21/2022 22:00:00,8
08/22/2022 02:00:00,2
08/22/2022 03:00:00,13
08/22/2022 21:00:00,8
08/22/2022 23:00:00,16
08/23/2022 17:00:00,8
08/23/2022 19:00:00,8
08/24/2022 03:00:00,16
08/25/2022 03:00:00,7
08/25/2022 13:00:00,8
08/26/2022 00:00:00,4
08/26/2022 01:00:00,5
08/26/2022 20:00:00,8
08/27/2022 01:00:00,8
08/27/2022 20:00:00,8
08/27/2022 23:00:00,8
08/28/2022 18:00:00,15
08/28/2022 19:00:00,8
08/28/2022 20:00:00,8
08/29/2022 00:00:00,8
08/29/2022 03:00:00,7
08/29/2022 21:00:00,8
08/29/2022 22:00:00,8
08/29/2022 23:00:00,8
08/30/2022 01:00:00,8
08/30/2022 02:00:00,16
08/30/2022 03:00:00,8
08/30/2022 19:00:00,8
08/31/2022 22:00:00,8
09/01/2022 21:00:00,8
09/01/2022 23:00:00,8
09/02/2022 18:00:00,8
09/02/2022 21:00:00,8
09/03/2022 23:00:00,8
09/04/2022 20:00:00,16
09/05/2022 00:00:00,8
09/05/2022 01:00:00,8
09/05/2022 02:00:00,8
09/05/2022 03:00:00,8
09/05/2022 05:00:00,8
09/05/2022 21:00:00,32
09/06/2022 01:00:00,16
09/06/2022 02:00:00,8
09/06/2022 03:00:00,8
09/06/2022 19:00:00,8
09/07/2022 22:00:00,8
09/07/2022 23:00:00,16
09/08/2022 00:00:00,8
09/08/2022 05:00:00,3
09/09/2022 01:00:00,8
09/09/2022 02:00:00,3
09/09/2022 03:00:00,8
09/09/2022 21:00:00,8
09/10/2022 04:00:00,8
09/10/2022 22:00:00,8
09/11/2022 01:00:00,8
09/11/2022 05:00:00,8
09/13/2022 00:00:00,8
09/13/2022 23:00:00,8
09/14/2022 04:00:00,8
09/15/2022 00:00:00,8
09/15/2022 23:00:00,8
09/16/2022 01:00:00,8
09/16/2022 04:00:00,8
09/16/2022 20:00:00,8
09/16/2022 23:00:00,8
09/17/2022 03:00:00,8
