time,number_of_objects
06/18/2022 20:00,27
06/19/2022 00:00,8
06/19/2022 03:00,15
06/19/2022 16:00,66
06/19/2022 21:00,8
06/20/2022 04:00,7
06/20/2022 20:00,9
06/21/2022 18:00,11
06/22/2022 19:00,16
06/23/2022 22:00,14
06/24/2022 03:00,1
06/24/2022 05:00,8
06/24/2022 15:00,8
06/24/2022 19:00,8
06/25/2022 21:00,5
06/25/2022 23:00,4
06/26/2022 19:00,24
06/26/2022 22:00,1
06/27/2022 00:00,5
06/27/2022 05:00,32
06/27/2022 10:00,32
06/27/2022 11:00,8
06/27/2022 12:00,56
06/27/2022 13:00,19
06/27/2022 14:00,378
06/27/2022 15:00,17
06/27/2022 18:00,6
06/27/2022 19:00,30
06/27/2022 20:00,15
06/27/2022 22:00,6
06/27/2022 23:00,8
06/28/2022 05:00,15
06/28/2022 21:00,3
06/29/2022 01:00,2
06/29/2022 04:00,7
06/29/2022 20:00,1
06/30/2022 22:00,9
06/30/2022 23:00,2
07/01/2022 06:00,5
07/01/2022 12:00,8
07/01/2022 23:00,4
07/02/2022 22:00,1
07/03/2022 01:00,3
07/03/2022 02:00,8
07/03/2022 04:00,15
07/03/2022 05:00,2
07/05/2022 02:00,8
07/05/2022 21:00,7
07/06/2022 13:00,7
07/06/2022 16:00,26
07/06/2022 17:00,191
07/06/2022 18:00,28
07/06/2022 21:00,8
07/07/2022 07:00,16
07/07/2022 18:00,211
07/07/2022 23:00,45
07/08/2022 03:00,15
07/09/2022 19:00,8
07/09/2022 20:00,14
07/10/2022 21:00,2
07/10/2022 22:00,2
07/11/2022 00:00,3
07/11/2022 02:00,13
07/11/2022 03:00,1
07/11/2022 20:00,31
07/11/2022 21:00,4
07/11/2022 22:00,3
07/11/2022 23:00,2
07/12/2022 20:00,8
07/13/2022 03:00,1
07/13/2022 19:00,24
07/13/2022 21:00,29
07/13/2022 22:00,14
07/14/2022 01:00,8
07/14/2022 21:00,8
07/14/2022 23:00,18
07/15/2022 03:00,1
07/15/2022 16:00,5
07/15/2022 23:00,8
07/16/2022 00:00,16
07/16/2022 02:00,4
07/16/2022 20:00,8
07/17/2022 00:00,5
07/17/2022 02:00,16
07/17/2022 03:00,16
07/18/2022 00:00,7
07/18/2022 04:00,8
07/19/2022 04:00,8
07/19/2022 06:00,8
07/19/2022 17:00,27
07/20/2022 20:00,47
07/22/2022 01:00,7
07/22/2022 22:00,7
07/23/2022 03:00,8
07/23/2022 21:00,8
07/23/2022 23:00,8
07/24/2022 05:00,7
07/24/2022 08:00,31
07/25/2022 03:00,2
07/25/2022 14:00,8
07/25/2022 15:00,16
07/25/2022 21:00,8
07/26/2022 07:00,47
07/26/2022 20:00,8
07/26/2022 21:00,3
07/27/2022 04:00,4
07/27/2022 21:00,7
07/28/2022 07:00,57
07/28/2022 20:00,24
07/28/2022 21:00,6
07/29/2022 04:00,8
07/29/2022 05:00,8
07/29/2022 07:00,24
07/29/2022 22:00,8
07/29/2022 23:00,4
07/30/2022 05:00,3
07/30/2022 17:00,8
07/31/2022 21:00,8
08/01/2022 02:00,4
08/01/2022 16:00,8
08/02/2022 14:00,76
08/02/2022 15:00,14
08/02/2022 16:00,17
08/03/2022 12:00,32
08/03/2022 21:00,6
08/03/2022 23:00,8
08/04/2022 06:00,8
08/04/2022 07:00,8
08/04/2022 11:00,8
08/04/2022 21:00,8
08/05/2022 01:00,8
08/05/2022 06:00,8
08/05/2022 19:00,7
08/06/2022 03:00,5
08/06/2022 06:00,8
08/06/2022 22:00,8
08/07/2022 01:00,8
08/07/2022 05:00,8
08/08/2022 00:00,8
08/08/2022 03:00,8
08/08/2022 07:00,8
08/08/2022 08:00,8
08/08/2022 17:00,8
08/09/2022 16:00,8
08/09/2022 22:00,7
08/10/2022 16:00,4
08/10/2022 22:00,8
08/11/2022 20:00,8
08/11/2022 23:00,8
08/12/2022 04:00,8
08/12/2022 07:00,8
08/12/2022 21:00,8
08/12/2022 23:00,6
08/13/2022 00:00,8
08/13/2022 22:00,14
08/14/2022 03:00,8
08/15/2022 00:00,6
08/15/2022 04:00,8
08/17/2022 07:00,8
08/17/2022 09:00,8
08/17/2022 20:00,8
08/18/2022 08:00,8
08/18/2022 16:00,6
