time,number_of_objects
6/18/2022,27
6/19/2022,97
6/20/2022,16
6/21/2022,11
6/22/2022,16
6/23/2022,14
6/24/2022,25
6/25/2022,9
6/26/2022,25
6/27/2022,612
6/28/2022,18
6/29/2022,10
6/30/2022,11
7/1/2022,17
7/2/2022,1
7/3/2022,28
7/4/2022,0
7/5/2022,15
7/6/2022,260
7/7/2022,272
7/8/2022,15
7/9/2022,22
7/10/2022,4
7/11/2022,57
7/12/2022,8
7/13/2022,68
7/14/2022,34
7/15/2022,14
7/16/2022,28
7/17/2022,37
7/18/2022,15
7/19/2022,43
7/20/2022,47
7/21/2022,0
7/22/2022,14
7/23/2022,24
7/24/2022,38
7/25/2022,34
7/26/2022,58
7/27/2022,11
7/28/2022,87
7/29/2022,52
7/30/2022,11
7/31/2022,8
8/1/2022,12
8/2/2022,107
8/3/2022,46
8/4/2022,32
8/5/2022,23
8/6/2022,21
8/7/2022,16
8/8/2022,40
8/9/2022,15
8/10/2022,12
8/11/2022,16
8/12/2022,30
8/13/2022,22
8/14/2022,8
8/15/2022,14
8/16/2022,0
8/17/2022,24
8/18/2022,14
