"","time","number_of_objects"
"1","06/18/2022 20:00",27
"2","06/18/2022 21:00",0
"3","06/18/2022 22:00",0
"4","06/18/2022 23:00",0
"5","06/19/2022 00:00",8
"6","06/19/2022 01:00",0
"7","06/19/2022 02:00",0
"8","06/19/2022 03:00",15
"9","06/19/2022 04:00",0
"10","06/19/2022 05:00",0
"11","06/19/2022 06:00",0
"12","06/19/2022 07:00",0
"13","06/19/2022 08:00",0
"14","06/19/2022 09:00",0
"15","06/19/2022 10:00",0
"16","06/19/2022 11:00",0
"17","06/19/2022 12:00",0
"18","06/19/2022 13:00",0
"19","06/19/2022 14:00",0
"20","06/19/2022 15:00",0
"21","06/19/2022 16:00",66
"22","06/19/2022 17:00",0
"23","06/19/2022 18:00",0
"24","06/19/2022 19:00",0
"25","06/19/2022 20:00",0
"26","06/19/2022 21:00",8
"27","06/19/2022 22:00",0
"28","06/19/2022 23:00",0
"29","06/20/2022 00:00",0
"30","06/20/2022 01:00",0
"31","06/20/2022 02:00",0
"32","06/20/2022 03:00",0
"33","06/20/2022 04:00",7
"34","06/20/2022 05:00",0
"35","06/20/2022 06:00",0
"36","06/20/2022 07:00",0
"37","06/20/2022 08:00",0
"38","06/20/2022 09:00",0
"39","06/20/2022 10:00",0
"40","06/20/2022 11:00",0
"41","06/20/2022 12:00",0
"42","06/20/2022 13:00",0
"43","06/20/2022 14:00",0
"44","06/20/2022 15:00",0
"45","06/20/2022 16:00",0
"46","06/20/2022 17:00",0
"47","06/20/2022 18:00",0
"48","06/20/2022 19:00",0
"49","06/20/2022 20:00",9
"50","06/20/2022 21:00",0
"51","06/20/2022 22:00",0
"52","06/20/2022 23:00",0
"53","06/21/2022 00:00",0
"54","06/21/2022 01:00",0
"55","06/21/2022 02:00",0
"56","06/21/2022 03:00",0
"57","06/21/2022 04:00",0
"58","06/21/2022 05:00",0
"59","06/21/2022 06:00",0
"60","06/21/2022 07:00",0
"61","06/21/2022 08:00",0
"62","06/21/2022 09:00",0
"63","06/21/2022 10:00",0
"64","06/21/2022 11:00",0
"65","06/21/2022 12:00",0
"66","06/21/2022 13:00",0
"67","06/21/2022 14:00",0
"68","06/21/2022 15:00",0
"69","06/21/2022 16:00",0
"70","06/21/2022 17:00",0
"71","06/21/2022 18:00",11
"72","06/21/2022 19:00",0
"73","06/21/2022 20:00",0
"74","06/21/2022 21:00",0
"75","06/21/2022 22:00",0
"76","06/21/2022 23:00",0
"77","06/22/2022 00:00",0
"78","06/22/2022 01:00",0
"79","06/22/2022 02:00",0
"80","06/22/2022 03:00",0
"81","06/22/2022 04:00",0
"82","06/22/2022 05:00",0
"83","06/22/2022 06:00",0
"84","06/22/2022 07:00",0
"85","06/22/2022 08:00",0
"86","06/22/2022 09:00",0
"87","06/22/2022 10:00",0
"88","06/22/2022 11:00",0
"89","06/22/2022 12:00",0
"90","06/22/2022 13:00",0
"91","06/22/2022 14:00",0
"92","06/22/2022 15:00",0
"93","06/22/2022 16:00",0
"94","06/22/2022 17:00",0
"95","06/22/2022 18:00",0
"96","06/22/2022 19:00",16
"97","06/22/2022 20:00",0
"98","06/22/2022 21:00",0
"99","06/22/2022 22:00",0
"100","06/22/2022 23:00",0
"101","06/23/2022 00:00",0
"102","06/23/2022 01:00",0
"103","06/23/2022 02:00",0
"104","06/23/2022 03:00",0
"105","06/23/2022 04:00",0
"106","06/23/2022 05:00",0
"107","06/23/2022 06:00",0
"108","06/23/2022 07:00",0
"109","06/23/2022 08:00",0
"110","06/23/2022 09:00",0
"111","06/23/2022 10:00",0
"112","06/23/2022 11:00",0
"113","06/23/2022 12:00",0
"114","06/23/2022 13:00",0
"115","06/23/2022 14:00",0
"116","06/23/2022 15:00",0
"117","06/23/2022 16:00",0
"118","06/23/2022 17:00",0
"119","06/23/2022 18:00",0
"120","06/23/2022 19:00",0
"121","06/23/2022 20:00",0
"122","06/23/2022 21:00",0
"123","06/23/2022 22:00",14
"124","06/23/2022 23:00",0
"125","06/24/2022 00:00",0
"126","06/24/2022 01:00",0
"127","06/24/2022 02:00",0
"128","06/24/2022 03:00",1
"129","06/24/2022 04:00",0
"130","06/24/2022 05:00",8
"131","06/24/2022 06:00",0
"132","06/24/2022 07:00",0
"133","06/24/2022 08:00",0
"134","06/24/2022 09:00",0
"135","06/24/2022 10:00",0
"136","06/24/2022 11:00",0
"137","06/24/2022 12:00",0
"138","06/24/2022 13:00",0
"139","06/24/2022 14:00",0
"140","06/24/2022 15:00",8
"141","06/24/2022 16:00",0
"142","06/24/2022 17:00",0
"143","06/24/2022 18:00",0
"144","06/24/2022 19:00",8
"145","06/24/2022 20:00",0
"146","06/24/2022 21:00",0
"147","06/24/2022 22:00",0
"148","06/24/2022 23:00",0
"149","06/25/2022 00:00",0
"150","06/25/2022 01:00",0
"151","06/25/2022 02:00",0
"152","06/25/2022 03:00",0
"153","06/25/2022 04:00",0
"154","06/25/2022 05:00",0
"155","06/25/2022 06:00",0
"156","06/25/2022 07:00",0
"157","06/25/2022 08:00",0
"158","06/25/2022 09:00",0
"159","06/25/2022 10:00",0
"160","06/25/2022 11:00",0
"161","06/25/2022 12:00",0
"162","06/25/2022 13:00",0
"163","06/25/2022 14:00",0
"164","06/25/2022 15:00",0
"165","06/25/2022 16:00",0
"166","06/25/2022 17:00",0
"167","06/25/2022 18:00",0
"168","06/25/2022 19:00",0
"169","06/25/2022 20:00",0
"170","06/25/2022 21:00",5
"171","06/25/2022 22:00",0
"172","06/25/2022 23:00",4
"173","06/26/2022 00:00",0
"174","06/26/2022 01:00",0
"175","06/26/2022 02:00",0
"176","06/26/2022 03:00",0
"177","06/26/2022 04:00",0
"178","06/26/2022 05:00",0
"179","06/26/2022 06:00",0
"180","06/26/2022 07:00",0
"181","06/26/2022 08:00",0
"182","06/26/2022 09:00",0
"183","06/26/2022 10:00",0
"184","06/26/2022 11:00",0
"185","06/26/2022 12:00",0
"186","06/26/2022 13:00",0
"187","06/26/2022 14:00",0
"188","06/26/2022 15:00",0
"189","06/26/2022 16:00",0
"190","06/26/2022 17:00",0
"191","06/26/2022 18:00",0
"192","06/26/2022 19:00",24
"193","06/26/2022 20:00",0
"194","06/26/2022 21:00",0
"195","06/26/2022 22:00",1
"196","06/26/2022 23:00",0
"197","06/27/2022 00:00",5
"198","06/27/2022 01:00",0
"199","06/27/2022 02:00",0
"200","06/27/2022 03:00",0
"201","06/27/2022 04:00",0
"202","06/27/2022 05:00",32
"203","06/27/2022 06:00",0
"204","06/27/2022 07:00",0
"205","06/27/2022 08:00",0
"206","06/27/2022 09:00",0
"207","06/27/2022 10:00",32
"208","06/27/2022 11:00",8
"209","06/27/2022 12:00",56
"210","06/27/2022 13:00",19
"211","06/27/2022 14:00",378
"212","06/27/2022 15:00",17
"213","06/27/2022 16:00",0
"214","06/27/2022 17:00",0
"215","06/27/2022 18:00",6
"216","06/27/2022 19:00",30
"217","06/27/2022 20:00",15
"218","06/27/2022 21:00",0
"219","06/27/2022 22:00",6
"220","06/27/2022 23:00",8
"221","06/28/2022 00:00",0
"222","06/28/2022 01:00",0
"223","06/28/2022 02:00",0
"224","06/28/2022 03:00",0
"225","06/28/2022 04:00",0
"226","06/28/2022 05:00",15
"227","06/28/2022 06:00",0
"228","06/28/2022 07:00",0
"229","06/28/2022 08:00",0
"230","06/28/2022 09:00",0
"231","06/28/2022 10:00",0
"232","06/28/2022 11:00",0
"233","06/28/2022 12:00",0
"234","06/28/2022 13:00",0
"235","06/28/2022 14:00",0
"236","06/28/2022 15:00",0
"237","06/28/2022 16:00",0
"238","06/28/2022 17:00",0
"239","06/28/2022 18:00",0
"240","06/28/2022 19:00",0
"241","06/28/2022 20:00",0
"242","06/28/2022 21:00",3
"243","06/28/2022 22:00",0
"244","06/28/2022 23:00",0
"245","06/29/2022 00:00",0
"246","06/29/2022 01:00",2
"247","06/29/2022 02:00",0
"248","06/29/2022 03:00",0
"249","06/29/2022 04:00",7
"250","06/29/2022 05:00",0
"251","06/29/2022 06:00",0
"252","06/29/2022 07:00",0
"253","06/29/2022 08:00",0
"254","06/29/2022 09:00",0
"255","06/29/2022 10:00",0
"256","06/29/2022 11:00",0
"257","06/29/2022 12:00",0
"258","06/29/2022 13:00",0
"259","06/29/2022 14:00",0
"260","06/29/2022 15:00",0
"261","06/29/2022 16:00",0
"262","06/29/2022 17:00",0
"263","06/29/2022 18:00",0
"264","06/29/2022 19:00",0
"265","06/29/2022 20:00",1
"266","06/29/2022 21:00",0
"267","06/29/2022 22:00",0
"268","06/29/2022 23:00",0
"269","06/30/2022 00:00",0
"270","06/30/2022 01:00",0
"271","06/30/2022 02:00",0
"272","06/30/2022 03:00",0
"273","06/30/2022 04:00",0
"274","06/30/2022 05:00",0
"275","06/30/2022 06:00",0
"276","06/30/2022 07:00",0
"277","06/30/2022 08:00",0
"278","06/30/2022 09:00",0
"279","06/30/2022 10:00",0
"280","06/30/2022 11:00",0
"281","06/30/2022 12:00",0
"282","06/30/2022 13:00",0
"283","06/30/2022 14:00",0
"284","06/30/2022 15:00",0
"285","06/30/2022 16:00",0
"286","06/30/2022 17:00",0
"287","06/30/2022 18:00",0
"288","06/30/2022 19:00",0
"289","06/30/2022 20:00",0
"290","06/30/2022 21:00",0
"291","06/30/2022 22:00",9
"292","06/30/2022 23:00",2
